Chamber,District,incumbentParty
State Senate,1,Rep
State Senate,2,Dem
State Senate,3,Rep
State Senate,4,Rep
State Senate,5,Dem
State Senate,6,Rep
State Senate,7,Dem
State Senate,8,Rep
State Senate,9,Dem
State Senate,10,Dem
State Senate,11,Rep
State Senate,12,Dem
State Senate,13,Rep
State Senate,14,Dem
State Senate,15,Dem
State Senate,16,Rep
State Senate,17,Dem
State Senate,18,Rep
State Senate,19,Rep
State Senate,20,Rep
State Senate,21,Rep
State Senate,22,Dem
State Senate,23,Rep
State Senate,24,Rep
State Senate,25,Rep
State Senate,26,Dem
State Senate,27,Rep
State Senate,28,Dem
State Senate,29,Rep
State Senate,30,Rep
State Senate,31,Rep
State Senate,32,Rep
State Senate,33,Dem
State Senate,34,Dem
State Senate,35,Dem
State Senate,36,Dem
State Senate,37,Rep
State Senate,38,Dem
State Senate,39,Dem
State Senate,40,Dem
State Senate,41,Dem
State Senate,42,Rep
State Senate,43,Dem
State Senate,44,Dem
State Senate,45,Rep
State Senate,46,Rep
State Senate,47,Rep
State Senate,48,Rep
State Senate,49,Rep
State Senate,50,Rep
State Senate,51,Rep
State Senate,52,Rep
State Senate,53,Rep
State Senate,54,Rep
State Senate,55,Dem
State Senate,56,Rep
State House of Representatives,1,Rep
State House of Representatives,2,Rep
State House of Representatives,3,Rep
State House of Representatives,4,Rep
State House of Representatives,5,Rep
State House of Representatives,6,Rep
State House of Representatives,7,Rep
State House of Representatives,8,Rep
State House of Representatives,9,Rep
State House of Representatives,10,Rep
State House of Representatives,11,Rep
State House of Representatives,12,Rep
State House of Representatives,13,Rep
State House of Representatives,14,Rep
State House of Representatives,15,Rep
State House of Representatives,16,Rep
State House of Representatives,17,Rep
State House of Representatives,18,Rep
State House of Representatives,19,Rep
State House of Representatives,20,Rep
State House of Representatives,21,Rep
State House of Representatives,22,Rep
State House of Representatives,23,Rep
State House of Representatives,24,Rep
State House of Representatives,25,Rep
State House of Representatives,26,Rep
State House of Representatives,27,Rep
State House of Representatives,28,Rep
State House of Representatives,29,Rep
State House of Representatives,30,Rep
State House of Representatives,31,Rep
State House of Representatives,32,Rep
State House of Representatives,33,Rep
State House of Representatives,34,Rep
State House of Representatives,35,Dem
State House of Representatives,36,Rep
State House of Representatives,37,Dem
State House of Representatives,38,Dem
State House of Representatives,39,Dem
State House of Representatives,40,Rep
State House of Representatives,41,Dem
State House of Representatives,42,Dem
State House of Representatives,43,Dem
State House of Representatives,44,Rep
State House of Representatives,45,Rep
State House of Representatives,46,Rep
State House of Representatives,47,Rep
State House of Representatives,48,Rep
State House of Representatives,49,Rep
State House of Representatives,50,Dem
State House of Representatives,51,Dem
State House of Representatives,52,Dem
State House of Representatives,53,Rep
State House of Representatives,54,Dem
State House of Representatives,55,Dem
State House of Representatives,56,Dem
State House of Representatives,57,Dem
State House of Representatives,58,Dem
State House of Representatives,59,Dem
State House of Representatives,60,Dem
State House of Representatives,61,Dem
State House of Representatives,62,Dem
State House of Representatives,63,Dem
State House of Representatives,64,Dem
State House of Representatives,65,Dem
State House of Representatives,66,Dem
State House of Representatives,67,Dem
State House of Representatives,68,Dem
State House of Representatives,69,Dem
State House of Representatives,70,Rep
State House of Representatives,71,Rep
State House of Representatives,72,Rep
State House of Representatives,73,Rep
State House of Representatives,74,Dem
State House of Representatives,75,Dem
State House of Representatives,76,Dem
State House of Representatives,77,Dem
State House of Representatives,78,Dem
State House of Representatives,79,Dem
State House of Representatives,80,Dem
State House of Representatives,81,Rep
State House of Representatives,82,Rep
State House of Representatives,83,Dem
State House of Representatives,84,Dem
State House of Representatives,85,Dem
State House of Representatives,86,Dem
State House of Representatives,87,Dem
State House of Representatives,88,Dem
State House of Representatives,89,Dem
State House of Representatives,90,Dem
State House of Representatives,91,Dem
State House of Representatives,92,Dem
State House of Representatives,93,Dem
State House of Representatives,94,Dem
State House of Representatives,95,Dem
State House of Representatives,96,Dem
State House of Representatives,97,Dem
State House of Representatives,98,Dem
State House of Representatives,99,Rep
State House of Representatives,100,Rep
State House of Representatives,101,Dem
State House of Representatives,102,Dem
State House of Representatives,103,Rep
State House of Representatives,104,Rep
State House of Representatives,105,Rep
State House of Representatives,106,Dem
State House of Representatives,107,Dem
State House of Representatives,108,Dem
State House of Representatives,109,Dem
State House of Representatives,110,Dem
State House of Representatives,111,Rep
State House of Representatives,112,Rep
State House of Representatives,113,Dem
State House of Representatives,114,Rep
State House of Representatives,115,Dem
State House of Representatives,116,Dem
State House of Representatives,117,Dem
State House of Representatives,118,Rep
State House of Representatives,119,Rep
State House of Representatives,120,Rep
State House of Representatives,121,Dem
State House of Representatives,122,Dem
State House of Representatives,123,Rep
State House of Representatives,124,Rep
State House of Representatives,125,Rep
State House of Representatives,126,Dem
State House of Representatives,127,Rep
State House of Representatives,128,Dem
State House of Representatives,129,Dem
State House of Representatives,130,Dem
State House of Representatives,131,Rep
State House of Representatives,132,Dem
State House of Representatives,133,Rep
State House of Representatives,134,Rep
State House of Representatives,135,Rep
State House of Representatives,136,Rep
State House of Representatives,137,Dem
State House of Representatives,138,Rep
State House of Representatives,139,Rep
State House of Representatives,140,Dem
State House of Representatives,141,Dem
State House of Representatives,142,Dem
State House of Representatives,143,Dem
State House of Representatives,144,Rep
State House of Representatives,145,Dem
State House of Representatives,146,Rep
State House of Representatives,147,Rep
State House of Representatives,148,Rep
State House of Representatives,149,Dem
State House of Representatives,150,Dem
State House of Representatives,151,Rep
State House of Representatives,152,Rep
State House of Representatives,153,Dem
State House of Representatives,154,Rep
State House of Representatives,155,Rep
State House of Representatives,156,Rep
State House of Representatives,157,Rep
State House of Representatives,158,Rep
State House of Representatives,159,Rep
State House of Representatives,160,Rep
State House of Representatives,161,Rep
State House of Representatives,162,Dem
State House of Representatives,163,Dem
State House of Representatives,164,Rep
State House of Representatives,165,Dem
State House of Representatives,166,Rep
State House of Representatives,167,Rep
State House of Representatives,168,Dem
State House of Representatives,169,Rep
State House of Representatives,170,Rep
State House of Representatives,171,Rep
State House of Representatives,172,Rep
State House of Representatives,173,Rep
State House of Representatives,174,Rep
State House of Representatives,175,Rep
State House of Representatives,176,Rep
State House of Representatives,177,Dem
State House of Representatives,178,Rep
State House of Representatives,179,Rep
State House of Representatives,180,Rep
United States House of Representatives,1,Rep
United States House of Representatives,2,Dem
United States House of Representatives,3,Rep
United States House of Representatives,4,Dem
United States House of Representatives,5,Dem
United States House of Representatives,6,Dem
United States House of Representatives,7,Rep
United States House of Representatives,8,Rep
United States House of Representatives,9,Rep
United States House of Representatives,10,Rep
United States House of Representatives,11,Rep
United States House of Representatives,12,Rep
United States House of Representatives,13,Dem
United States House of Representatives,14,Rep
