County,Kemp 2022,Abrams 2022,Hazel 2022,Bloc,Kemp 2018,Abrams 2018,Metz 2018
Appling,5552,1131,20,South,5428,1358,23
Atkinson,1767,467,12,South,1876,637,9
Bacon,3312,393,16,South,3321,489,20
Baker,755,500,3,South,753,535,5
Baldwin,7987,6913,102,Middle,7735,7793,108
Banks,6651,607,68,East,6150,645,57
Barrow,21833,7309,288,East,20162,6900,343
Bartow,31528,8137,332,North,28425,8524,410
Ben Hill,3412,1680,26,South,3539,1983,25
Berrien,5209,772,38,South,5314,900,38
Bibb,22396,31514,290,Middle,23225,37066,401
Bleckley,3886,883,36,South,3816,1002,42
Brantley,5416,393,50,South,5198,461,35
Brooks,3644,1959,39,South,3511,2188,23
Bryan,12188,4676,142,South,10507,4313,165
Bulloch,16067,7352,172,South,14848,8630,205
Burke,4685,3720,62,Middle,4410,4269,42
Butts,7223,2420,52,Middle,6358,2451,54
Calhoun,793,919,3,South,810,1084,5
Camden,12494,5264,187,South,11139,5727,195
Candler,2666,885,11,South,2560,963,16
Carroll,32095,11258,374,West,29204,12180,459
Catoosa,20009,4255,239,North,18881,4590,287
Charlton,2654,728,23,South,2534,822,19
Chatham,46593,58978,758,South,41425,61059,1059
Chattahoochee,583,427,10,Middle,603,494,8
Chattooga,6471,1192,49,North,5936,1445,53
Cherokee,89322,29893,1159,Cherokee,76700,28047,1664
Clarke,13091,26901,324,East,12365,30427,510
Clay,570,553,3,South,536,642,8
Clayton,11306,72399,431,Clayton,10868,80971,373
Clinch,1668,433,13,South,1717,534,7
Cobb,147698,161872,2645,Cobb,138852,168767,4195
Coffee,8818,3021,66,South,8929,3630,56
Colquitt,9860,2684,54,South,9830,3054,79
Columbia,43437,20617,518,Middle,40947,20023,664
Cook,4138,1387,32,South,4116,1667,20
Coweta,45376,17847,503,West,40471,16908,692
Crawford,3633,1171,31,Middle,3595,1302,37
Crisp,4296,2013,13,South,4445,2577,28
Dade,4969,807,68,North,4508,884,70
Dawson,12010,1827,141,North,9953,1519,109
Decatur,5659,3191,33,South,5492,3615,39
DeKalb,54522,241901,1806,DeKalb,48923,261042,2776
Dodge,5087,1518,25,South,5220,1817,24
Dooly,1860,1416,10,South,2001,1782,12
Dougherty,8524,18091,94,South,9330,21980,115
Douglas,19719,32858,353,Douglas,21744,33053,458
Early,2321,1576,11,South,2285,1840,10
Echols,956,94,15,South,1008,126,9
Effingham,19553,5603,242,South,17969,5145,257
Elbert,5369,1916,39,East,5152,2194,42
Emanuel,5505,2024,33,South,5400,2278,38
Evans,2467,882,12,South,2392,1040,15
Fannin,10752,1796,89,North,9306,1809,103
Fayette,34116,25769,461,Fayette,32497,24796,705
Floyd,23930,7855,293,North,21569,8445,324
Forsyth,74116,27434,896,Forsyth,65845,26092,1361
Franklin,7734,948,57,East,7051,1036,61
Fulton,128167,289085,2632,Fulton,112991,306589,4208
Gilmer,11952,2010,124,North,10471,1917,122
Glascock,1211,89,5,Middle,1189,107,5
Glynn,22245,10779,255,South,20743,11636,269
Gordon,16003,2743,161,North,14586,3046,172
Grady,5884,2422,35,South,5633,2704,33
Greene,7402,3060,46,Middle,5856,3093,46
Gwinnett,133076,164051,2355,Gwinnett,132998,178097,3823
Habersham,14513,2322,155,North,12944,2417,139
Hall,56573,16299,644,Hall,49442,17187,777
Hancock,1073,2313,16,Middle,872,2666,10
Haralson,10398,1166,87,West,9278,1219,88
Harris,12924,4008,107,West,11834,4021,131
Hart,8426,2039,95,East,7370,2178,74
Heard,3858,568,37,West,3374,654,27
Henry,36392,58643,533,Henry,41364,56485,709
Houston,34842,23928,440,Middle,34314,24358,560
Irwin,2695,702,21,South,2701,851,10
Jackson,26223,5420,238,East,21950,4674,275
Jasper,5237,1286,51,Middle,4430,1484,31
Jeff Davis,3865,646,32,South,3979,814,22
Jefferson,3162,3089,27,Middle,3177,3564,26
Jenkins,1893,871,10,South,1857,1004,11
Johnson,2504,867,12,South,2524,948,11
Jones,8583,3657,72,Middle,8438,3938,65
Lamar,5736,1963,56,Middle,5105,2195,57
Lanier,1932,691,15,South,1910,762,9
Laurens,12508,5973,69,South,12484,6375,93
Lee,10094,3413,80,South,10120,3356,79
Liberty,6069,9235,111,South,5557,9696,115
Lincoln,2966,992,24,East,2756,1188,25
Long,2944,1443,39,South,2591,1371,36
Lowndes,21256,13275,229,South,20488,15024,241
Lumpkin,10525,2070,142,North,9157,2228,173
Macon,1551,2209,18,Middle,1556,2652,9
Madison,9955,2500,99,East,9181,2418,100
Marion,1868,954,24,Middle,1872,1037,22
McDuffie,5283,2978,56,Middle,5323,3427,42
McIntosh,3570,1923,24,South,3218,2161,29
Meriwether,5704,3160,44,West,5093,3501,56
Miller,1689,462,13,South,1803,502,10
Mitchell,4197,2829,26,South,4187,3245,23
Monroe,10314,3315,89,Middle,9308,3516,114
Montgomery,2545,670,11,South,2686,821,21
Morgan,7764,2473,89,East,6807,2675,76
Murray,10290,1160,83,North,9512,1489,90
Muscogee,23925,35149,388,Middle,24348,38462,462
Newton,19094,23531,251,Newton,19449,23412,280
Oconee,16553,5783,142,East,14480,6015,249
Oglethorpe,4998,1766,47,East,4568,1847,70
Paulding,43992,22427,585,West,40784,19959,562
Peach,5542,4431,66,Middle,5432,4966,47
Pickens,12937,2041,108,North,11331,1901,130
Pierce,6462,674,41,South,6123,738,23
Pike,8303,1075,53,Middle,7322,1164,57
Polk,11117,2427,96,West,10177,2588,96
Pulaski,2452,905,17,South,2527,1079,16
Putnam,7689,2497,51,Middle,6704,2579,52
Quitman,555,350,1,South,522,410,8
Rabun,6766,1415,81,North,6063,1428,87
Randolph,1243,1317,5,South,1257,1518,14
Richmond,21602,42130,424,Middle,22076,47531,548
Rockdale,9938,24756,214,Rockdale,11703,24725,227
Schley,1526,339,11,Middle,1565,353,15
Screven,3422,1872,19,South,3268,2131,15
Seminole,2255,773,17,South,2149,1061,17
Spalding,15090,9146,159,Middle,14937,9258,222
Stephens,7818,1501,81,North,7326,1692,69
Stewart,673,895,5,Middle,760,1053,6
Sumter,4921,4650,34,South,5149,5360,47
Talbot,1214,1628,22,Middle,1167,1765,22
Taliaferro,327,477,3,Middle,350,568,3
Tattnall,5123,1359,45,South,5073,1537,37
Taylor,2137,1069,10,Middle,2069,1205,20
Telfair,2433,960,20,South,2425,1191,16
Terrell,1795,1840,21,South,1800,2125,14
Thomas,11062,6138,87,South,10557,6602,85
Tift,9418,3546,80,South,9523,4070,80
Toombs,6522,1920,44,South,6623,2201,36
Towns,6066,1052,62,North,5009,1065,58
Treutlen,1764,677,8,South,1800,806,8
Troup,14864,8262,130,West,14533,9218,162
Turner,1994,1083,22,South,2062,1200,12
Twiggs,1980,1542,18,Middle,1999,1776,17
Union,12123,2070,119,North,9899,1852,114
