County,Trump 2024,Harris 2024,Others 2024,Bloc,Trump 2020,Biden 2020,Others 2020
Appling,6761,1560,13,South,6570,1784,36
Atkinson,2350,700,7,South,2300,825,30
Bacon,4186,645,8,South,4017,625,25
Baker,883,590,3,South,897,652,6
Baldwin,9574,9159,92,Middle,8903,9140,218
Banks,9358,1136,25,East,7795,932,78
Barrow,30730,12949,255,East,26804,10453,689
Bartow,43271,13942,334,North,37672,12091,723
Ben Hill,4281,2199,21,South,4111,2393,60
Berrien,6841,1209,18,South,6419,1269,56
Bibb,26658,42172,351,Middle,26559,43408,796
Bleckley,4685,1339,20,South,4329,1312,69
Brantley,7744,736,20,South,6993,700,56
Brooks,4560,2629,21,South,4261,2791,49
Bryan,16738,7779,134,South,14240,6738,371
Bulloch,20985,11514,158,South,18387,11248,474
Burke,6027,4994,49,Middle,5400,5208,77
Butts,9424,3544,51,Middle,8406,3274,96
Calhoun,900,1153,3,South,923,1263,12
Camden,17819,8405,169,South,15249,7967,482
Candler,3366,1196,6,South,3133,1269,29
Carroll,42536,17634,324,West,37476,16236,790
Catoosa,27150,7704,184,North,25167,6932,527
Charlton,3607,1007,14,South,3419,1105,44
Chatham,57336,82758,1015,South,53232,78247,2005
Chattahoochee,982,703,9,Middle,880,667,35
Chattooga,8769,1896,41,North,8064,1854,135
Cherokee,112142,48838,1301,Metro,99585,42779,2495
Clarke,16049,36297,541,East,14450,36055,916
Clay,663,771,8,South,637,791,8
Clayton,16877,94203,649,Metro,15811,95466,1114
Clinch,2201,702,5,South,2105,744,13
Cobb,168679,228404,4286,Metro,165436,221847,6739
Coffee,11388,4295,32,South,10578,4511,125
Colquitt,12451,4114,46,South,11777,4190,120
Columbia,53657,31624,639,Middle,50013,29232,1375
Cook,5374,1956,27,South,4900,2059,78
Coweta,57204,28111,601,West,51501,24210,1134
Crawford,4742,1582,16,Middle,4428,1615,59
Crisp,5099,2993,24,South,4985,2982,69
Dade,6804,1343,53,North,6066,1261,120
Dawson,16115,3350,96,North,13398,2486,200
Decatur,7140,4372,37,South,6755,4782,91
DeKalb,62622,299630,3756,Metro,58377,308162,4338
Dodge,6249,2081,20,South,5843,2172,57
Dooly,2243,1921,13,South,2159,1911,36
Dougherty,9904,23831,115,South,10441,24568,281
Douglas,23996,46240,485,Metro,25454,42814,871
Early,2718,2158,3,South,2710,2450,28
Echols,1307,127,4,South,1256,167,19
Effingham,26943,9144,157,South,23361,7718,500
Elbert,6860,2700,29,East,6226,2879,71
Emanuel,6919,2673,27,South,6553,2886,68
Evans,3011,1214,19,South,2888,1324,36
Fannin,13232,2807,57,North,12169,2570,110
Fayette,38177,35822,634,Metro,37956,33062,994
Floyd,31631,12862,245,North,28906,11917,542
Forsyth,91281,45509,1459,Metro,85123,42208,2046
Franklin,10459,1647,34,East,9069,1593,105
Fulton,144655,384752,5831,Metro,137247,380212,6472
Gilmer,14976,3413,92,North,13429,2932,166
Glascock,1534,133,3,Middle,1402,155,8
Glynn,27558,16144,210,South,25617,15882,495
Gordon,22495,4982,129,North,19405,4384,255
Grady,7385,3290,43,South,7034,3619,54
Greene,8215,4514,57,Middle,7066,4087,94
Gwinnett,173041,242507,5133,Metro,166400,241994,5956
Habersham,19142,4036,102,North,16637,3562,243
