Candidate,Votes,Share
Brian Kemp (I) (Rep) (2022),2111572.0,53.411436411319045
Stacey Abrams (Dem) (2022),1813673.0,45.876190871268534
Shane Hazel (Lib) (2022),28163.0,0.7123727174124198
Burt Jones (Rep) (2022),2009617.0,51.392280175575166
Charlie Bailey (Dem) (2022),1815524.0,46.42870660104932
Ryan Graham (Lib) (2022),85207.0,2.1790132233755153
Brad Raffensperger (I) (Rep) (2022),2081241.0,53.228030251298776
Bee Nguyen (Dem) (2022),1719922.0,43.987246189112305
Ted Metz (Lib) (2022),108884.0,2.7847235595889255
Chris Carr (I) (Rep) (2022),2032500.0,51.86213780707744
"Jennifer """"Jen"""" Jordan (Dem) (2022)",1826437.0,46.604146317316165
Martin Cowen (Lib) (2022),60107.0,1.533715875606398
Tyler Harper (Rep) (2022),2068892.0,52.97025266772527
Nakita Hemingway (Dem) (2022),1751214.0,44.83667975672865
David Raudabaugh (Lib) (2022),85656.0,2.1930675755460776
John King (I) (Rep) (2022),2157748.0,54.04728161521556
Janice Laws Robinson (Dem) (2022),1834586.0,45.95271838478444
Bruce Thompson (Rep) (2022),2030170.0,52.08202925379628
"William """"Will"""" Boddie, Jr (Dem) (2022)",1766894.0,45.32794051550221
Emily Anderson (Lib) (2022),100960.0,2.590030230701504
Richard Woods (I) (Rep) (2022),2115728.0,54.188314257840965
Alisha Thomas Searcy (Dem) (2022),1788671.0,45.811685742159035
